,dob,workclass,occupation,level,g_dob,g_workclass
3655,18/01/1970,localgov,protectiveserv,"(0, 0)",18/01/1970,localgov
26708,03/02/2005,notworking,nooccupation,"(0, 0)",03/02/2005,notworking
12967,13/01/2000,private,admclerical,"(0, 0)",13/01/2000,private
7283,27/03/1975,private,machineopinspct,"(0, 0)",27/03/1975,private
1125,11/02/1988,private,craftrepair,"(0, 0)",11/02/1988,private
18230,29/01/1985,selfempnotinc,profspecialty,"(0, 0)",29/01/1985,selfempnotinc
5911,25/03/1992,private,profspecialty,"(0, 0)",25/03/1992,private
20433,22/02/2002,private,admclerical,"(0, 0)",22/02/2002,private
27895,10/01/1968,private,otherservice,"(0, 0)",10/01/1968,private
8852,05/02/1975,private,profspecialty,"(0, 0)",05/02/1975,private
2891,13/02/1971,private,otherservice,"(0, 0)",13/02/1971,private
21219,10/03/1993,selfempnotinc,sales,"(0, 0)",10/03/1993,selfempnotinc
3873,24/02/1996,private,admclerical,"(0, 0)",24/02/1996,private
26280,11/01/1970,private,machineopinspct,"(0, 0)",11/01/1970,private
10567,18/01/1975,selfempinc,execmanagerial,"(0, 0)",18/01/1975,selfempinc
31757,08/02/1983,private,machineopinspct,"(0, 0)",08/02/1983,private
1213,25/03/1978,private,admclerical,"(0, 0)",25/03/1978,private
8051,12/03/1998,private,otherservice,"(0, 0)",12/03/1998,private
2859,20/03/1977,localgov,farmingfishing,"(0, 0)",20/03/1977,localgov
1752,17/01/1954,selfempnotinc,sales,"(0, 0)",17/01/1954,selfempnotinc
