,dob,workclass,occupation
2995,1978,withpay,craftrepair
10002,1978,withpay,sales
4931,1978,withpay,execmanagerial
13218,1978,withpay,admclerical
27167,1978,withpay,execmanagerial
5323,1978,withpay,profspecialty
17030,1978,withpay,execmanagerial
28490,1978,withpay,sales
22649,1978,withpay,transportmoving
18564,1978,withpay,execmanagerial
31906,1978,withpay,profspecialty
31140,1978,withpay,execmanagerial
3172,1978,withpay,transportmoving
28749,1978,withpay,execmanagerial
20607,1978,withpay,profspecialty
22013,1978,withpay,farmingfishing
4050,1978,withpay,admclerical
5682,1978,withpay,otherservice
26396,1978,withpay,craftrepair
32221,1978,withpay,machineopinspct
426,1978,withpay,machineopinspct
27904,1972,withpay,admclerical
28311,1972,withpay,otherservice
23786,1972,withpay,profspecialty
17648,1972,withpay,protectiveserv
444,1972,withpay,sales
4753,1972,withpay,profspecialty
14747,1972,withpay,machineopinspct
15660,1972,withpay,execmanagerial
25095,1972,withpay,farmingfishing
1843,1972,withpay,execmanagerial
24048,1972,withpay,protectiveserv
1564,1972,withpay,profspecialty
15306,1972,withpay,execmanagerial
23505,1972,withpay,execmanagerial
24672,1972,withpay,admclerical
25168,1972,withpay,craftrepair
14099,1972,withpay,craftrepair
30060,1991,withpay,transportmoving
7563,1991,withpay,sales
28024,1991,withpay,sales
27928,1991,withpay,techsupport
19244,1991,withpay,admclerical
24785,1991,withpay,execmanagerial
4797,1991,withpay,techsupport
23453,1991,withpay,otherservice
22778,1991,withpay,machineopinspct
18468,1991,withpay,profspecialty
19197,1991,withpay,profspecialty
12857,1991,withpay,craftrepair
8114,1991,withpay,sales
18342,1991,withpay,sales
9057,1991,withpay,transportmoving
7310,1991,withpay,otherservice
22535,1991,withpay,execmanagerial
26793,1991,withpay,admclerical
5318,1991,withpay,admclerical
28230,1991,withpay,execmanagerial
10486,1991,withpay,admclerical
13823,1991,withpay,craftrepair
20804,1991,withpay,craftrepair
28875,1991,withpay,machineopinspct
7039,1991,withpay,handlerscleaners
27503,1991,withpay,profspecialty
4820,1963,withpay,execmanagerial
21973,1963,withpay,admclerical
26449,1963,withpay,craftrepair
8845,1963,withpay,otherservice
2621,1963,withpay,sales
31499,1963,withpay,sales
4667,1963,withpay,otherservice
32525,1963,withpay,sales
15561,1963,withpay,handlerscleaners
28260,1963,withpay,sales
19820,1963,withpay,admclerical
31912,1963,withpay,admclerical
32279,1963,withpay,farmingfishing
31871,1963,withpay,otherservice
16750,1981,withpay,machineopinspct
31313,1981,withpay,profspecialty
31839,1981,withpay,machineopinspct
3168,1981,withpay,craftrepair
7341,1981,withpay,techsupport
1341,1981,withpay,execmanagerial
27562,1981,withpay,craftrepair
11564,1981,withpay,craftrepair
22458,1981,withpay,handlerscleaners
12642,1981,withpay,transportmoving
4961,1981,withpay,otherservice
24983,1981,withpay,profspecialty
2814,1981,withpay,admclerical
21102,1981,withpay,craftrepair
23296,1981,withpay,craftrepair
32005,1981,withpay,profspecialty
30384,1981,withpay,execmanagerial
17989,1976,withpay,profspecialty
11132,1976,withpay,execmanagerial
17962,1976,withpay,profspecialty
27302,1976,withpay,admclerical
29084,1976,withpay,execmanagerial
3570,1976,withpay,admclerical
2095,1976,withpay,execmanagerial
2048,1976,withpay,sales
21918,1976,withpay,farmingfishing
28869,1976,withpay,execmanagerial
1339,1976,withpay,profspecialty
16188,1976,withpay,execmanagerial
13206,1976,withpay,machineopinspct
16120,1976,withpay,admclerical
9970,1976,withpay,profspecialty
31603,1976,withpay,otherservice
2250,1976,withpay,profspecialty
32161,1976,withpay,craftrepair
27424,1976,withpay,profspecialty
30122,1976,withpay,profspecialty
2497,1976,withpay,execmanagerial
2023,1976,withpay,sales
6936,1976,withpay,farmingfishing
18517,1976,withpay,sales
5729,1976,withpay,otherservice
4521,1976,withpay,otherservice
25563,1976,withpay,profspecialty
30411,1976,withpay,techsupport
10294,1965,withpay,admclerical
12129,1965,withpay,execmanagerial
17114,1965,withpay,handlerscleaners
13395,1965,withpay,profspecialty
24864,1965,withpay,transportmoving
24781,1965,withpay,sales
18283,1965,withpay,otherservice
31209,1965,withpay,craftrepair
316,1965,withpay,transportmoving
21698,1965,withpay,transportmoving
3617,1975,withpay,techsupport
30034,1975,withpay,sales
7413,1975,withpay,execmanagerial
24437,1975,withpay,craftrepair
30065,1975,withpay,admclerical
24837,1975,withpay,execmanagerial
6074,1975,withpay,otherservice
6811,1975,withpay,handlerscleaners
22814,1975,withpay,craftrepair
19009,1975,withpay,execmanagerial
16349,1975,withpay,execmanagerial
2407,1975,withpay,execmanagerial
20052,1975,withpay,profspecialty
30090,1975,withpay,admclerical
7570,1975,withpay,sales
964,1975,withpay,techsupport
5233,1975,withpay,execmanagerial
2506,1975,withpay,execmanagerial
22400,1975,withpay,profspecialty
14648,1975,withpay,protectiveserv
16926,1975,withpay,execmanagerial
23716,1975,withpay,admclerical
4655,1975,withpay,admclerical
414,1975,withpay,techsupport
27872,1975,withpay,sales
1282,1980,withpay,craftrepair
17587,1980,withpay,profspecialty
27595,1980,withpay,machineopinspct
1292,1980,withpay,protectiveserv
15758,1980,withpay,sales
19789,1980,withpay,privhouseserv
30473,1980,withpay,sales
2116,1980,withpay,profspecialty
4046,1980,withpay,machineopinspct
14942,1980,withpay,sales
488,1980,withpay,execmanagerial
3597,1980,withpay,techsupport
12522,1980,withpay,transportmoving
13349,1980,withpay,admclerical
30431,1980,withpay,profspecialty
1452,1980,withpay,craftrepair
26895,1980,withpay,farmingfishing
1413,1980,withpay,craftrepair
524,1980,withpay,profspecialty
7030,1980,withpay,otherservice
28715,1980,withpay,profspecialty
25022,1980,withpay,execmanagerial
4184,1980,withpay,execmanagerial
10743,1980,withpay,craftrepair
2061,1980,withpay,sales
4743,2000,withpay,sales
13646,2000,withpay,admclerical
28450,2000,withpay,otherservice
26502,2000,withpay,techsupport
15583,2000,withpay,otherservice
9654,2000,withpay,sales
14097,2000,withpay,otherservice
24111,2000,withpay,machineopinspct
24811,2000,withpay,sales
29576,2000,withpay,execmanagerial
11732,2000,withpay,sales
13430,2000,withpay,craftrepair
1316,2000,withpay,admclerical
19150,2000,withpay,craftrepair
17141,2000,withpay,techsupport
21542,2000,withpay,sales
25373,2000,withpay,craftrepair
28779,1966,notworking,nooccupation
6600,1966,notworking,nooccupation
11040,1966,notworking,nooccupation
22056,1966,notworking,nooccupation
482,1982,withpay,profspecialty
29615,1982,withpay,craftrepair
2994,1982,withpay,profspecialty
15536,1982,withpay,handlerscleaners
4021,1982,withpay,admclerical
20027,1982,withpay,craftrepair
11220,1982,withpay,admclerical
14046,1982,withpay,craftrepair
18469,1982,withpay,admclerical
11314,1982,withpay,profspecialty
28539,1982,withpay,craftrepair
11861,1982,withpay,profspecialty
1161,1982,withpay,craftrepair
3198,1982,withpay,profspecialty
510,1982,withpay,profspecialty
18323,1982,withpay,execmanagerial
4991,1982,withpay,transportmoving
2695,1982,withpay,craftrepair
8930,1982,withpay,handlerscleaners
2550,1982,withpay,craftrepair
17948,1982,withpay,craftrepair
1829,1982,withpay,sales
13944,1984,withpay,profspecialty
18530,1984,withpay,machineopinspct
18702,1984,withpay,craftrepair
985,1984,withpay,execmanagerial
17327,1984,withpay,admclerical
3521,1984,withpay,machineopinspct
30439,1984,withpay,techsupport
15885,1984,withpay,sales
13396,1984,withpay,craftrepair
30036,1984,withpay,profspecialty
2136,1984,withpay,craftrepair
23278,1984,withpay,craftrepair
5797,1984,withpay,admclerical
25745,1984,withpay,transportmoving
3663,1984,withpay,machineopinspct
8703,1984,withpay,execmanagerial
5275,1984,withpay,craftrepair
23838,1984,withpay,sales
14224,1984,withpay,craftrepair
31503,1984,withpay,profspecialty
