,dob,workclass,occupation
31711,1990-2000,working,craftrepair
17871,1990-2000,working,protectiveserv
26209,1990-2000,working,sales
5147,1990-2000,working,transportmoving
9025,1990-2000,working,sales
14593,1990-2000,working,craftrepair
815,1990-2000,working,execmanagerial
10462,1990-2000,working,execmanagerial
3261,1990-2000,working,transportmoving
6523,1990-2000,working,admclerical
11322,1990-2000,working,transportmoving
18014,1990-2000,working,machineopinspct
6897,1990-2000,working,handlerscleaners
7599,1990-2000,working,otherservice
11114,1990-2000,working,protectiveserv
2964,1970-1980,working,profspecialty
3332,1970-1980,working,craftrepair
28978,1970-1980,working,admclerical
1438,1970-1980,working,execmanagerial
2015,1970-1980,working,farmingfishing
30277,1970-1980,working,admclerical
16605,1970-1980,working,otherservice
6165,1970-1980,working,profspecialty
2783,1970-1980,working,sales
19910,1970-1980,working,handlerscleaners
2066,1970-1980,working,profspecialty
15263,1970-1980,working,admclerical
4571,1970-1980,working,techsupport
22529,1970-1980,working,execmanagerial
26739,1970-1980,working,otherservice
16607,1960-1970,working,sales
26929,1960-1970,working,admclerical
6389,1960-1970,working,craftrepair
6280,1960-1970,working,craftrepair
12431,1960-1970,working,sales
6338,2000-2010,working,sales
16119,2000-2010,working,admclerical
23988,2000-2010,working,machineopinspct
23371,2000-2010,working,otherservice
7457,2000-2010,working,otherservice
569,1980-1990,working,execmanagerial
14921,1980-1990,working,otherservice
23219,1980-1990,working,machineopinspct
27368,1980-1990,working,profspecialty
27568,1980-1990,working,craftrepair
9841,1980-1990,working,handlerscleaners
25937,1950-1960,working,profspecialty
1434,1950-1960,working,execmanagerial
21577,1950-1960,working,craftrepair
12189,2000-2010,notworking,nooccupation
